question,true_router,predicted_router,router_correct,ground_disciplines,predicted_disciplines,discipline_exact_match,discipline_correct_count,is_verified,verification_step,verification_note,response_time,context_tokens,answer_tokens,faithfulness,relevancy,correctness,faithfulness_rationale,relevancy_rationale,correctness_rationale,answer,error
Сколько часов лекций по дисциплине алгоритмы и структуры данных в питон?,single.simple,single.simple,True,Алгоритмы и структуры данных в языке Python,Алгоритмы и структуры данных в языке Python,True,1,True,3,[3/3] Ответ «32 часа» полностью соответствует данным из контекста рабочей программы. В разделе «Общие сведения о дисциплине» прямо указано: «лекции: 32» часа.,51.925,12961,21,,,,,,,"32 часа.

В контексте указано: ""Аудиторная работа: 100 ч. (лекции: 32, семинары: 68)"".",
Сколько часов семинаров по предмету рекомендательные системы?,single.simple,single.simple,True,Рекомендательные системы и коллаборативная фильтрация,Рекомендательные системы и коллаборативная фильтрация,True,1,True,2,[2/3] Ответ точно соответствует указанному в контексте значению: 34 часа семинаров.,50.006,239,10,,,,,,,"34 часа.  
Из контекста: «семинары: 34».",
Какова общая трудоемкость курса обработка текстов на естественных языках?,single.simple,single.simple,True,Обработка текстов на естественных языках,Обработка текстов на естественных языках,True,1,True,2,"[2/3] Ответ точно соответствует контексту: общая трудоёмкость указана как 144 часа, что подтверждается цитатой из контекста.",54.417,1396,35,,,,,,,"Общая трудоёмкость курса «Обработка текстов на естественных языках» составляет **144 часа**.

Цитата из контекста: «Трудоёмкость (часов): 144».",
Сколько тем содержится в курсе прикладной теории графов?,single.simple,single.simple,True,Прикладная теория графов,Прикладная теория графов,True,1,True,1,"[1/3] Ответ точно соответствует контексту: в тематическом плане указано 8 тем, и модель ответила цифрой 8.",11.947,358,0,,,,,,,8,
Какая форма промежуточной аттестации в курсе машинное зрение?,single.simple,single.simple,True,Машинное зрение,Машинное зрение,True,1,True,1,[1/3] Ответ соответствует контексту. В разделе «Примерные вопросы для подготовки к зачету» явно указана форма промежуточной аттестации — зачет.,13.036,629,35,,,,,,,"Зачет.  

На основании контекста, в разделе «Примерные вопросы для подготовки к зачету» указано: «Примерные вопросы для подготовки к зачету».",
Какая форма промежуточной аттестации по дисциплине алгоритмы и структура данных в Python в 2 семестре?,single.simple,single.simple,True,Алгоритмы и структуры данных в языке Python,Алгоритмы и структуры данных в языке Python,True,1,True,2,[2/3] Ответ соответствует контексту: в разделе 'Общие сведения о дисциплине' указано 'Семестр 2: ... аттестация: экзамен'; также в контексте есть 'Примерные вопросы для подготовки к экзамену во 2 семестре' и образец экзаменационного билета для 2 семестра.,131.008,2555,79,,,,,,,"Экзамен

На основании предоставленного контекста:
1. В разделе общих сведений указано: ""Семестр 2: ... аттестация: экзамен"".
2. В разделе фонда оценочных средств присутствует подраздел ""Примерные вопросы для подготовки к экзамену во 2 семестре"".
3. В контексте приведен образец ""ЭКЗАМЕНАЦИОННЫЙ БИЛЕТ № ... Семестр: 2"".",
Какие компетенции формируются по предмету глубокое обучение?,single.simple,single.simple,True,Глубокое обучение,Глубокое обучение,True,1,True,3,"[3/3] Ответ модели точен и полон. Он прямо перечисляет все компетенции, указанные в контексте (DL-1, DL-3, DL-4, ML-6), и не содержит галлюцинаций или заявлений об отсутствии информации.",76.249,8729,179,,,,,,,"По дисциплине «Глубокое обучение» формируются следующие компетенции: DL-1, DL-3, DL-4, ML-6.

Цитата из контекста:
*   В разделе «[Общие сведения о дисциплине «Глубокое обучение»]» указано: «Компетенции: DL-1, DL-3, DL-4, ML-6».
*   В разделе «[Компетенции дисциплины «Глубокое обучение» (4 компетенции)]» приведены их полные названия:
    *   DL-1: Способен применять и (или) разрабатывать архитектуры глубоких нейронных сетей
    *   DL-3: Способен применять и (или) разрабатывать алгоритмы, методы и технологии компьютерного зрения
    *   DL-4: Способен применять и (или) разрабатывать алгоритмы, методы и технологии обработки естественного языка
    *   ML-6: Способен применять алгоритмы обучения с подкреплением",
Сколько часов самостоятельной работы выделяется на первые две темы дисциплины фундаментальные и генеративные модели?,single.simple,single.simple,True,Фундаментальные и генеративные модели,Фундаментальные и генеративные модели,True,1,True,3,"[3/3] Ответ полностью соответствует данным в контексте. Прямо указаны трудоемкость по каждой теме и часы самостоятельной работы, сумма (12+14=26) вычислена корректно.",58.467,7850,91,,,,,,,"На первые две темы дисциплины выделяется **26 часов** самостоятельной работы.

Из контекста:
- Тема 1: «Символьный искусственный интеллект и нейросимволические фреймворки» — трудоёмкость 24 ч., в том числе «сам. работа 12».
- Тема 2: «Архитектуры генеративных моделей и их модификация» — трудоёмкость 26 ч., в том числе «сам. работа 14».

Сумма: 12 + 14 = 26 часов.",
Сколько тем имеют по 6 часов семинаров в курсе семантические технологии?,single.simple,single.simple,True,Семантические технологии,Семантические технологии,True,1,False,3,"[3/3] Ответ не соответствует критерию ФАКТИЧЕСКОЙ ТОЧНОСТИ. В контексте для тем 1, 3, 4, 5, 6, 8 явно указано распределение часов: «лекции 2, семинары 4, сам. работа ...». Для темы 7 указано «лекции 2, семинары 6, сам. работа 12». Следовательно, можно определить, что ровно одна тема (Тема 7) имеет 6 часов семинаров. Ответ модели «информация отсутствует» является галлюцинацией, так как данные в контексте есть.",59.672,7542,94,,,,,,,"В предоставленных данных эта информация отсутствует.

В контексте указана общая трудоёмкость семинаров по каждой теме, но не указано, сколько из этих часов отводится именно на семинары. Например, для темы 7 указано ""Трудоёмкость: 20 ч. (лекции 2, семинары 6, сам. работа 12)"", но для других тем распределение часов между лекциями и семинарами в детальном описании не приведено.",
Сколько тем в дисциплине технологии обработки данных?,single.simple,single.simple,True,Технологии обработки данных,Технологии обработки данных,True,1,True,3,"[3/3] Ответ '7' точно соответствует количеству тем, указанному в контексте в разделе тематического плана: 'Тематический план дисциплины «Технологии обработки данных» (7 тем)'.",55.319,6750,0,,,,,,,7,
