question,true_router,predicted_router,router_correct,ground_disciplines,predicted_disciplines,discipline_exact_match,discipline_correct_count,is_verified,verification_step,verification_note,response_time,context_tokens,answer_tokens,faithfulness,relevancy,correctness,faithfulness_rationale,relevancy_rationale,correctness_rationale,answer,error
Сколько часов лекций по дисциплине алгоритмы и структуры данных в питон?,single.simple,single.simple,True,Алгоритмы и структуры данных в языке Python,Алгоритмы и структуры данных в языке Python,True,1,False,,,4.557,0,0,,,,,,,,
Сколько часов семинаров по предмету рекомендательные системы?,single.simple,single.simple,True,Рекомендательные системы и коллаборативная фильтрация,Рекомендательные системы и коллаборативная фильтрация,True,1,False,,,2.78,0,0,,,,,,,,
Какова общая трудоемкость курса обработка текстов на естественных языках?,single.simple,single.simple,True,Обработка текстов на естественных языках,Обработка текстов на естественных языках,True,1,False,,,2.848,0,0,,,,,,,,
Сколько тем содержится в курсе прикладной теории графов?,single.simple,single.simple,True,Прикладная теория графов,Прикладная теория графов,True,1,False,,,2.808,0,0,,,,,,,,
Какая форма промежуточной аттестации в курсе машинное зрение?,single.simple,single.simple,True,Машинное зрение,Машинное зрение,True,1,False,,,13.141,0,0,,,,,,,,
Какая форма промежуточной аттестации по дисциплине алгоритмы и структура данных в Python в 2 семестре?,single.simple,single.simple,True,Алгоритмы и структуры данных в языке Python,Алгоритмы и структуры данных в языке Python,True,1,False,,,6.403,0,0,,,,,,,,
Какие компетенции формируются по предмету глубокое обучение?,single.simple,single.simple,True,Глубокое обучение,Глубокое обучение,True,1,False,,,6.603,0,0,,,,,,,,
Сколько часов самостоятельной работы выделяется на первые две темы дисциплины фундаментальные и генеративные модели?,single.simple,single.simple,True,Фундаментальные и генеративные модели,Фундаментальные и генеративные модели,True,1,False,,,6.445,0,0,,,,,,,,
Сколько тем имеют по 6 часов семинаров в курсе семантические технологии?,single.simple,single.simple,True,Семантические технологии,Семантические технологии,True,1,False,,,9.906,0,0,,,,,,,,
Сколько тем в дисциплине технологии обработки данных?,single.simple,single.simple,True,Технологии обработки данных,Технологии обработки данных,True,1,False,,,2.702,0,0,,,,,,,,
Сколько всего часов самостоятельной работы в дисциплине технологии анализа сетевых моделей?,single.simple,single.simple,True,Технологии и алгоритмы анализа сетевых моделей,Технологии и алгоритмы анализа сетевых моделей,True,1,False,,,2.956,0,0,,,,,,,,
Сколько тем имеют по 6 часов семинаров в курсе машинное обучение в семантическом анализе?,single.simple,single.simple,True,Машинное обучение в семантическом и сетевом анализе,Машинное обучение в семантическом и сетевом анализе,True,1,False,,,3.269,0,0,,,,,,,,
Имеется ли тема о векторном представлении узлов графа в курсе прикладные задачи машинного обучения?,single.simple,single.simple,True,Прикладные задачи машинного обучения,Прикладные задачи машинного обучения,True,1,False,,,4.038,0,0,,,,,,,,
Имеется ли тема о векторном представлении узлов графа в курсе машинное обучение в семантическом анализе?,single.simple,clarify,False,Машинное обучение в семантическом и сетевом анализе,,False,0,False,,,2.851,0,0,,,,,,,,
Что изучается в курсе Алгоритмы и структуры данных в языке Python?,single.global,single.global,True,Алгоритмы и структуры данных в языке Python,Алгоритмы и структуры данных в языке Python,True,1,False,,,3.092,0,0,,,,,,,,
Какие инструменты и методы применяются в математическом и имитационном моделировании?,clarify,clarify,True,,,True,0,False,,,0.888,0,0,,,,,,,,
Какие вопросы для подготовки к экзамену после 1 семестра по курсу алгоритмы и структура данных в питоне?,single.global,single.global,True,Алгоритмы и структуры данных в языке Python,Алгоритмы и структуры данных в языке Python,True,1,False,,,3.308,0,0,,,,,,,,
Какие примерные вопросы для подготовки к контрольной работе по предмету алгоритмы и структура данных в Python для 1 семестра?,single.global,single.global,True,Алгоритмы и структуры данных в языке Python,Алгоритмы и структуры данных в языке Python,True,1,False,,,14.55,0,0,,,,,,,,
Какие дополнительные учебные материалы и интернет-ресурсы рекомендуется использовать для успешного освоения дисциплины технологии обработки данных?,single.global,single.global,True,Технологии обработки данных,Технологии обработки данных,True,1,False,,,3.131,0,0,,,,,,,,
Перечисли все основные темы для изучения по курсу технологии обработки данных,single.global,single.global,True,Технологии обработки данных,Технологии обработки данных,True,1,False,,,4.097,0,0,,,,,,,,
Какие вопросы выносятся на самостоятельное изучение по дисциплине обработки данных?,single.global,single.global,True,Технологии обработки данных,Технологии обработки данных,True,1,False,,,4.542,0,0,,,,,,,,
Какие основные вопросы включены в перечень подготовки к экзамену по курсу технологии обработки данных?,single.global,single.global,True,Технологии обработки данных,Технологии обработки данных,True,1,False,,,4.737,0,0,,,,,,,,
Какие основные вопросы включаются в перечень подготовки к контрольной работе по дисциплине «Глубокое обучение»?,single.global,single.global,True,Глубокое обучение,Глубокое обучение,True,1,False,,,11.612,0,0,,,,,,,,
Какие результаты обучения будут после курса семантических технологий?,single.global,single.global,True,Семантические технологии,Семантические технологии,True,1,False,,,3.057,0,0,,,,,,,,
В чём заключаются ключевые различия в подходах к обработке данных в дисциплинах технологии обработки данных и технологии обработки больших данных?,multi.relation,multi.compare,False,Технологии обработки данных; Технологии обработки больших данных,Технологии обработки данных; Технологии обработки больших данных,True,2,False,,,3.071,0,0,,,,,,,,
Какие общие темы и пересечения существуют между дисциплинами технологии обработки данных и технологии обработки больших данных?,multi.relation,multi.relation,True,Технологии обработки данных; Технологии обработки больших данных,Технологии обработки данных; Технологии обработки больших данных,True,2,False,,,3.52,0,0,,,,,,,,
Какие пересечения существуют в вопросах для подготовки к экзамену по дисциплинам технологии обработки данных и технологии обработки больших данных?,multi.relation,multi.relation,True,Технологии обработки данных; Технологии обработки больших данных,Технологии обработки данных; Технологии обработки больших данных,True,2,False,,,3.392,0,0,,,,,,,,
Как соотносятся и в чём различаются методы анализа текста в дисциплинах обработка текстов на естественных языках и семантические технологии?,multi.relation,multi.relation,True,Обработка текстов на естественных языках; Семантические технологии,Обработка текстов на естественных языках; Семантические технологии,True,2,False,,,3.907,0,0,,,,,,,,
Чем отличаются подходы к представлению знаний в предметах обработка текстов на естественных языках и семантические технологии?,multi.relation,multi.relation,True,Обработка текстов на естественных языках; Семантические технологии,Обработка текстов на естественных языках; Семантические технологии,True,2,False,,,3.039,0,0,,,,,,,,
Какие методы извлечения информации из текста используются в курсах обработка текстов на естественных языках и семантические технологии и как они различаются?,multi.relation,multi.relation,True,Обработка текстов на естественных языках; Семантические технологии,Обработка текстов на естественных языках; Семантические технологии,True,2,False,,,3.07,0,0,,,,,,,,
В чём различие использования графов в дисциплинах прикладная теория графов и технологии и алгоритмы анализа сетевых моделей?,multi.relation,multi.relation,True,Прикладная теория графов; Технологии и алгоритмы анализа сетевых моделей,Прикладная теория графов; Технологии и алгоритмы анализа сетевых моделей,True,2,False,,,3.138,0,0,,,,,,,,
Как соотносятся задачи оптимизации на графах в дисциплинах прикладная теория графов и технологии анализа сетевых моделей?,multi.relation,multi.relation,True,Прикладная теория графов; Технологии и алгоритмы анализа сетевых моделей,Прикладная теория графов; Технологии и алгоритмы анализа сетевых моделей,True,2,False,,,10.283,0,0,,,,,,,,
Как различается подход к изучению графов большой размерности и динамических графов в дисциплинах прикладная теория графов и технологии и алгоритмы сетевых моделей?,multi.relation,multi.relation,True,Прикладная теория графов; Технологии и алгоритмы анализа сетевых моделей,Прикладная теория графов; Технологии и алгоритмы анализа сетевых моделей,True,2,False,,,7.434,0,0,,,,,,,,
"Насколько пересекаются темы дисциплин глубокое обучение и машинное зрение, и являются ли они самостоятельными областями или одна из них является частью другой?",multi.relation,multi.compare,False,Глубокое обучение; Машинное зрение,Глубокое обучение; Машинное зрение,True,2,False,,,3.713,0,0,,,,,,,,
В каких темах наблюдается пересечение глубокого обучения и машинного зрения?,multi.relation,multi.global.semantic,False,Глубокое обучение; Машинное зрение,,False,0,False,,,11.499,0,0,,,,,,,,
"В какой степени пересекаются компетенции и индикаторы достижения результатов в предметах глубокое обучение и машинное зрение, если рассматривать их контрольные задания и формируемые навыки?",multi.relation,multi.relation,True,Глубокое обучение; Машинное зрение,Глубокое обучение; Машинное зрение,True,2,False,,,2.97,0,0,,,,,,,,
Какие дисциплины включают использование сверточных нейронных сетей и их архитектур?,multi.global.semantic,multi.global.semantic,True,,,True,0,False,,,2.4,0,0,,,,,,,,
Какие дисциплины используют PyTorch или аналогичные фреймворки?,multi.global.semantic,multi.global.semantic,True,,,True,0,False,,,2.761,0,0,,,,,,,,
"Какие дисциплины включают задачи классификации, детекции или сегментации объектов?",multi.global.semantic,multi.global.semantic,True,,,True,0,False,,,2.588,0,0,,,,,,,,
В каких темах встречаются графовые модели и их применение в реальных системах?,multi.global.semantic,multi.global.semantic,True,,,True,0,False,,,2.941,0,0,,,,,,,,
"В каких курсах рассматриваются генеративные модели (GAN, VAE или аналогичные архитектуры)?",multi.global.semantic,multi.global.semantic,True,,,True,0,False,,,7.271,0,0,,,,,,,,
Изучается ли тема о векторном представлении узлов графа?,clarify,multi.global.semantic,False,,,True,0,False,,,6.891,0,0,,,,,,,,
Какие основные вопросы включены в перечень подготовки к экзамену?,clarify,clarify,True,,,True,0,False,,,3.395,0,0,,,,,,,,
Какие основные темы для изучения по курсу?,clarify,clarify,True,,,True,0,False,,,3.041,0,0,,,,,,,,
Как работает градиентный спуск в машинном обучении?,irrelevant,irrelevant,True,,,True,0,False,,,4.12,0,0,,,,,,,,
Что такое нейронная сеть и как она обучается?,irrelevant,irrelevant,True,,,True,0,False,,,10.143,0,0,,,,,,,,
Для чего используется библиотека NumPy?,irrelevant,irrelevant,True,,,True,0,False,,,1.858,0,0,,,,,,,,
Что такое DataFrame в Pandas?,irrelevant,irrelevant,True,,,True,0,False,,,9.681,0,0,,,,,,,,
Сколько часов лекций по дисциплине анализ данных?,clarify,clarify,True,,,True,0,False,,,3.058,0,0,,,,,,,,
Сколько тем в курсе искусственный интеллект?,clarify,clarify,True,,,True,0,False,,,0.793,0,0,,,,,,,,
"Какие общие темы есть у курсов анализ данных, введение в машинное обучение и искусственный интеллект?",clarify,clarify,True,,Глубокое обучение; Алгоритмы и структуры данных в языке Python; Технологии обработки больших данных; Технологии обработки данных; Прикладные задачи машинного обучения; Машинное зрение; Машинное обучение в семантическом и сетевом анализе,False,0,False,,,0.975,0,0,,,,,,,,
Сколько часов лабораторных занятий предусмотрено по дисциплине глубокое обучение?,single.simple,single.simple,True,Глубокое обучение,Глубокое обучение,True,1,False,,,3.016,0,0,,,,,,,,
Сколько лекционных часов отведено на курс машинное зрение?,single.simple,single.simple,True,Машинное зрение,Машинное зрение,True,1,False,,,3.073,0,0,,,,,,,,
Какая форма контроля предусмотрена по дисциплине семантические технологии?,single.simple,single.simple,True,Семантические технологии,Семантические технологии,True,1,False,,,2.855,0,0,,,,,,,,
Сколько тем включает дисциплина глубокое обучение?,single.simple,single.simple,True,Глубокое обучение,Глубокое обучение,True,1,False,,,2.701,0,0,,,,,,,,
Какова общая трудоемкость курса машинное зрение?,single.simple,single.simple,True,Машинное зрение,Машинное зрение,True,1,False,,,7.503,0,0,,,,,,,,
Сколько часов самостоятельной работы предусмотрено по дисциплине прикладная теория графов?,single.simple,single.simple,True,Прикладная теория графов,Прикладная теория графов,True,1,False,,,16.414,0,0,,,,,,,,
Сколько семинаров проводится в курсе технологии обработки данных?,single.simple,single.simple,True,Технологии обработки данных,Технологии обработки данных,True,1,False,,,4.206,0,0,,,,,,,,
Какая промежуточная аттестация предусмотрена по курсу рекомендательные системы и коллаборативная фильтрация?,single.simple,single.simple,True,Рекомендательные системы и коллаборативная фильтрация,Рекомендательные системы и коллаборативная фильтрация,True,1,False,,,4.473,0,0,,,,,,,,
Сколько часов практических занятий включает дисциплина обработка текстов на естественных языках?,single.simple,single.simple,True,Обработка текстов на естественных языках,Обработка текстов на естественных языках,True,1,False,,,2.886,0,0,,,,,,,,
Сколько разделов изучается в курсе фундаментальные и генеративные модели?,single.simple,single.simple,True,Фундаментальные и генеративные модели,Фундаментальные и генеративные модели,True,1,False,,,7.714,0,0,,,,,,,,
Какие навыки формируются после изучения дисциплины машинное зрение?,single.global,single.simple,False,Машинное зрение,Машинное зрение,True,1,False,,,7.641,0,0,,,,,,,,
Что входит в содержание курса рекомендательные системы и коллаборативная фильтрация?,single.global,single.global,True,Рекомендательные системы и коллаборативная фильтрация,Рекомендательные системы и коллаборативная фильтрация,True,1,False,,,2.956,0,0,,,,,,,,
Какие темы рассматриваются в дисциплине прикладная теория графов?,single.global,single.global,True,Прикладная теория графов,Прикладная теория графов,True,1,False,,,10.923,0,0,,,,,,,,
Какие технологии изучаются в курсе технологии обработки больших данных?,single.global,single.global,True,Технологии обработки больших данных,Технологии обработки больших данных,True,1,False,,,3.116,0,0,,,,,,,,
Какие вопросы вынесены на экзамен по дисциплине глубокое обучение?,single.global,single.global,True,Глубокое обучение,Глубокое обучение,True,1,False,,,10.585,0,0,,,,,,,,
Какие темы необходимо изучить самостоятельно по курсу машинное зрение?,single.global,single.global,True,Машинное зрение,Машинное зрение,True,1,False,,,4.43,0,0,,,,,,,,
Какие дополнительные источники рекомендуются для дисциплины обработка текстов на естественных языках?,single.global,single.global,True,Обработка текстов на естественных языках,Обработка текстов на естественных языках,True,1,False,,,11.056,0,0,,,,,,,,
Что изучается в рамках курса технологии и алгоритмы анализа сетевых моделей?,single.global,single.global,True,Технологии и алгоритмы анализа сетевых моделей,Технологии и алгоритмы анализа сетевых моделей,True,1,False,,,3.599,0,0,,,,,,,,
Какие результаты обучения достигаются после освоения курса фундаментальные и генеративные модели?,single.global,single.global,True,Фундаментальные и генеративные модели,Фундаментальные и генеративные модели,True,1,False,,,7.061,0,0,,,,,,,,
Какие основные понятия изучаются в дисциплине семантические технологии?,single.global,single.global,True,Семантические технологии,Семантические технологии,True,1,False,,,3.177,0,0,,,,,,,,
Чем отличаются подходы к анализу изображений в дисциплинах машинное зрение и глубокое обучение?,multi.relation,multi.relation,True,Машинное зрение; Глубокое обучение,Машинное зрение; Глубокое обучение,True,2,False,,,10.161,0,0,,,,,,,,
Какие общие темы есть у дисциплин обработка текстов на естественных языках и глубокое обучение?,multi.relation,multi.relation,True,Обработка текстов на естественных языках; Глубокое обучение,Обработка текстов на естественных языках; Глубокое обучение,True,2,False,,,18.808,0,0,,,,,,,,
Как связаны методы анализа графов в курсах прикладная теория графов и технологии и алгоритмы анализа сетевых моделей?,multi.relation,multi.relation,True,Прикладная теория графов; Технологии и алгоритмы анализа сетевых моделей,Прикладная теория графов; Технологии и алгоритмы анализа сетевых моделей,True,2,False,,,2.925,0,0,,,,,,,,
В чем различие рекомендательных алгоритмов в курсах рекомендательные системы и коллаборативная фильтрация и машинное обучение в семантическом и сетевом анализе?,multi.relation,multi.compare,False,Рекомендательные системы и коллаборативная фильтрация; Машинное обучение в семантическом и сетевом анализе,Рекомендательные системы и коллаборативная фильтрация; Машинное обучение в семантическом и сетевом анализе,True,2,False,,,3.111,0,0,,,,,,,,
Как различаются способы представления данных в дисциплинах технологии обработки данных и технологии обработки больших данных?,multi.relation,multi.relation,True,Технологии обработки данных; Технологии обработки больших данных,Технологии обработки данных; Технологии обработки больших данных,True,2,False,,,2.765,0,0,,,,,,,,
Какие пересечения есть между курсами фундаментальные и генеративные модели и глубокое обучение?,multi.relation,multi.relation,True,Фундаментальные и генеративные модели; Глубокое обучение,Фундаментальные и генеративные модели; Глубокое обучение,True,2,False,,,2.713,0,0,,,,,,,,
