question,true_router,predicted_router,router_correct,ground_disciplines,predicted_disciplines,discipline_exact_match,discipline_correct_count,is_verified,verification_step,verification_note,response_time,context_tokens,answer_tokens,faithfulness,relevancy,correctness,faithfulness_rationale,relevancy_rationale,correctness_rationale,answer,error
Сколько часов лекций по дисциплине алгоритмы и структуры данных в питон?,single.simple,single.simple,True,Алгоритмы и структуры данных в языке Python,Алгоритмы и структуры данных в языке Python,True,1,False,,,4.932,0,0,,,,,,,,
Сколько часов семинаров по предмету рекомендательные системы?,single.simple,single.simple,True,Рекомендательные системы и коллаборативная фильтрация,Рекомендательные системы и коллаборативная фильтрация,True,1,False,,,2.773,0,0,,,,,,,,
Какова общая трудоемкость курса обработка текстов на естественных языках?,single.simple,single.simple,True,Обработка текстов на естественных языках,Обработка текстов на естественных языках,True,1,False,,,4.312,0,0,,,,,,,,
Сколько тем содержится в курсе прикладной теории графов?,single.simple,single.simple,True,Прикладная теория графов,Прикладная теория графов,True,1,False,,,14.636,0,0,,,,,,,,
Какая форма промежуточной аттестации в курсе машинное зрение?,single.simple,single.simple,True,Машинное зрение,Машинное зрение,True,1,False,,,6.154,0,0,,,,,,,,
Какая форма промежуточной аттестации по дисциплине алгоритмы и структура данных в Python в 2 семестре?,single.simple,single.simple,True,Алгоритмы и структуры данных в языке Python,Алгоритмы и структуры данных в языке Python,True,1,False,,,4.525,0,0,,,,,,,,
Какие компетенции формируются по предмету глубокое обучение?,single.simple,single.simple,True,Глубокое обучение,Глубокое обучение,True,1,False,,,13.603,0,0,,,,,,,,
Сколько часов самостоятельной работы выделяется на первые две темы дисциплины фундаментальные и генеративные модели?,single.simple,single.simple,True,Фундаментальные и генеративные модели,Фундаментальные и генеративные модели,True,1,False,,,4.585,0,0,,,,,,,,
Сколько тем имеют по 6 часов семинаров в курсе семантические технологии?,single.simple,single.simple,True,Семантические технологии,Семантические технологии,True,1,False,,,15.34,0,0,,,,,,,,
Сколько тем в дисциплине технологии обработки данных?,single.simple,single.simple,True,Технологии обработки данных,Технологии обработки данных,True,1,False,,,10.491,0,0,,,,,,,,
Сколько всего часов самостоятельной работы в дисциплине технологии анализа сетевых моделей?,single.simple,single.simple,True,Технологии и алгоритмы анализа сетевых моделей,Технологии и алгоритмы анализа сетевых моделей,True,1,False,,,5.931,0,0,,,,,,,,
Сколько тем имеют по 6 часов семинаров в курсе машинное обучение в семантическом анализе?,single.simple,single.simple,True,Машинное обучение в семантическом и сетевом анализе,Машинное обучение в семантическом и сетевом анализе,True,1,False,,,4.835,0,0,,,,,,,,
Имеется ли тема о векторном представлении узлов графа в курсе прикладные задачи машинного обучения?,single.simple,single.simple,True,Прикладные задачи машинного обучения,Прикладные задачи машинного обучения,True,1,False,,,4.567,0,0,,,,,,,,
Имеется ли тема о векторном представлении узлов графа в курсе машинное обучение в семантическом анализе?,single.simple,clarify,False,Машинное обучение в семантическом и сетевом анализе,,False,0,False,,,2.787,0,0,,,,,,,,
Что изучается в курсе Алгоритмы и структуры данных в языке Python?,single.global,single.global,True,Алгоритмы и структуры данных в языке Python,Алгоритмы и структуры данных в языке Python,True,1,False,,,4.095,0,0,,,,,,,,
Какие инструменты и методы применяются в математическом и имитационном моделировании?,clarify,clarify,True,,,True,0,False,,,1.069,0,0,,,,,,,,
Какие вопросы для подготовки к экзамену после 1 семестра по курсу алгоритмы и структура данных в питоне?,single.global,single.global,True,Алгоритмы и структуры данных в языке Python,Алгоритмы и структуры данных в языке Python,True,1,False,,,2.873,0,0,,,,,,,,
Какие примерные вопросы для подготовки к контрольной работе по предмету алгоритмы и структура данных в Python для 1 семестра?,single.global,single.global,True,Алгоритмы и структуры данных в языке Python,Алгоритмы и структуры данных в языке Python,True,1,False,,,5.63,0,0,,,,,,,,
Какие дополнительные учебные материалы и интернет-ресурсы рекомендуется использовать для успешного освоения дисциплины технологии обработки данных?,single.global,single.global,True,Технологии обработки данных,Технологии обработки данных,True,1,False,,,2.993,0,0,,,,,,,,
Перечисли все основные темы для изучения по курсу технологии обработки данных,single.global,single.global,True,Технологии обработки данных,Технологии обработки данных,True,1,False,,,3.623,0,0,,,,,,,,
Какие вопросы выносятся на самостоятельное изучение по дисциплине обработки данных?,single.global,single.global,True,Технологии обработки данных,Технологии обработки данных,True,1,False,,,3.467,0,0,,,,,,,,
Какие основные вопросы включены в перечень подготовки к экзамену по курсу технологии обработки данных?,single.global,single.global,True,Технологии обработки данных,Технологии обработки данных,True,1,False,,,6.366,0,0,,,,,,,,
Какие основные вопросы включаются в перечень подготовки к контрольной работе по дисциплине «Глубокое обучение»?,single.global,single.global,True,Глубокое обучение,Глубокое обучение,True,1,False,,,7.578,0,0,,,,,,,,
